sample_name,ECDF Percentile Count_0,ECDF Percentile Count_1,ECDF Percentile_0,ECDF Percentile_1,ECDF_0,ECDF_1,ECDF_2,ECDF_3,ECDF_4,ECDF_5,ECDF_6,ECDF_7,ECDF_8,ECDF_9,Histogram_0,Histogram_1,Histogram_2,Histogram_3,Histogram_4,Histogram_5,Histogram_6,Histogram_7,Histogram_8,Histogram_9,Interquartile range,Kurtosis,Max,Mean,Mean absolute deviation,Median,Median absolute deviation,Min,Root mean square,Skewness,Standard deviation,Variance
MAC000359-2013-11,298.0,1194.0,0.167,0.225,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,979.0,347.0,78.0,45.0,9.0,0.04299999999999998,21.057709951926974,2.395,0.24676423335565972,0.11929640084107615,0.184,0.01899999999999999,0.0,0.3291908710730854,4.022251578543863,0.21788538898753684,0.047474042734250245
MAC000359-2013-12,298.0,1194.0,0.17,0.437,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,870.0,294.0,161.0,78.0,33.0,0.183,14.445186704963994,3.0799999,0.31135432016075015,0.18230545223546002,0.192,0.026999999999999996,0.0,0.410748865830585,3.098130820624302,0.26790505426055145,0.071773118098349
MAC000359-2014-01,298.0,1194.0,0.167,0.451,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,847.0,312.0,174.0,56.0,37.0,0.17599999999999996,9.844832245689798,2.2279999,0.3188606828533155,0.19403985417099398,0.192,0.03,0.0,0.42890966569249467,2.8497372766512608,0.2868647176889569,0.08229136625476492
MAC000359-2014-02,298.0,1194.0,0.152,0.313,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1026.0,235.0,123.0,53.0,18.0,0.07200000000000001,13.603321846034756,2.3710001,0.24786537173476225,0.15569867687969177,0.178,0.025000000000000022,0.0,0.3526193394658109,3.0982747932301784,0.25080501601860544,0.06290315606009295
MAC000360-2012-03,298.0,1194.0,0.0,0.185,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1217.0,203.0,45.0,19.0,7.0,0.154,8.514506825928942,1.224,0.12180174146014733,0.09814626955262087,0.091,0.091,0.0,0.18954995170904212,2.4185929982391934,0.14523608356801565,0.021093519970175625
MAC000360-2012-04,298.0,1194.0,0.084,0.255,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1112.0,281.0,63.0,27.0,6.0,0.119,8.033527123689565,1.147,0.17019223040857334,0.1029323967306237,0.105,0.028999999999999998,0.0,0.22437002526729385,2.457645298345238,0.14620708925014944,0.021376512947001165
MAC000360-2012-05,298.0,1194.0,0.09,0.241,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1114.0,288.0,70.0,14.0,6.0,0.11099999999999999,7.446011001704434,1.102,0.17102076356329537,0.0892570481851229,0.117,0.034,0.0,0.21206245525710532,2.383855811632076,0.12538892837846258,0.01572238335989922
MAC000360-2012-06,298.0,1194.0,0.09,0.204,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1181.0,231.0,55.0,20.0,6.0,0.08499999999999999,8.247365333603394,0.919,0.16089149363697253,0.08058926923544525,0.12,0.033,0.0,0.20177109144340746,2.5461182047984083,0.1217600123912934,0.014825500617527923
MAC000360-2012-07,298.0,1194.0,0.09,0.229,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1139.0,280.0,49.0,20.0,5.0,0.098,7.594838606099685,0.879,0.16837106496985935,0.08233183209521192,0.122,0.03699999999999999,0.0,0.2056936869065789,2.450571927602871,0.11815700281463264,0.013961077314137104
MAC000360-2012-08,298.0,1194.0,0.096,0.251,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1057.0,336.0,71.0,26.0,3.0,0.117,5.111226163891089,0.879,0.18406430006697924,0.088550454476326,0.14,0.04799999999999999,0.0,0.22143962994908856,2.0861295320276607,0.12310907014855693,0.01515584315284231
