sample_name,Absolute energy,Area under the curve,Autocorrelation,Centroid,Entropy,Mean absolute diff,Mean diff,Median absolute diff,Median diff,Negative turning points,Neighbourhood peaks,Peak to peak distance,Positive turning points,Signal distance,Slope,Sum absolute diff,Total energy,Zero crossing rate
MAC000002-2013-08,82.46603978340002,2.698744998999998,82.46603978340002,7.759763492377041,0.7204850534560469,0.09886947777777777,2.8781793842034552e-05,0.046999999999999986,-0.0030000000000000027,596.0,60.0,1.266,602.0,1520.3186590785508,4.7422246843328105e-06,147.7109998,5.5198152465461865,4.0
MAC000002-2013-09,142.94457411040005,3.216400001000001,142.94457411040005,9.219687531250516,0.7602081344239808,0.09370147242302543,-0.00013386880856760343,0.04450000000000001,0.0,524.0,58.0,1.751,527.0,1516.8620412806683,0.00011803227808089997,139.9899998,9.567909913681396,5.0
MAC000002-2013-10,187.0983432960001,3.780709996999999,187.09834329600005,7.831519620026543,0.7809914326690233,0.11216867429718877,-9.772423025435127e-05,0.044500000000000005,-0.0020000000000000018,534.0,59.0,1.965,538.0,1525.3985940398338,2.4201131658068593e-05,167.57999940000002,12.523316151004023,4.0
MAC000002-2013-11,229.88567380120006,4.100069998999999,229.8856738012,6.049175550822276,0.7826238466745837,0.11043909009370817,-0.0001566265060240959,0.044,0.0,501.0,52.0,2.095,501.0,1523.7751058603012,-0.00011572900398582515,164.9960006,15.387260629263725,5.0
MAC000002-2013-12,178.1174971866001,3.766279999999999,178.1174971866001,6.707234156447876,0.7702176841618744,0.09688219558232933,0.0001539491298527448,0.040999999999999995,-0.00399999999999999,535.0,53.0,2.352,538.0,1519.7754449893207,-3.871967379578584e-05,144.7420002,11.922188566706835,4.0
MAC000002-2014-01,303.9588305698001,4.896629998000002,303.9588305698001,8.541898273851938,0.806911182157596,0.1172061578313253,-1.3386880856760796e-05,0.048999999999999995,-0.0059999999999999915,513.0,60.0,2.5039999,515.0,1526.421175109183,6.251885060065705e-05,175.1059998,20.345303250990636,6.0
MAC000002-2014-02,259.0600965456002,4.146385004000001,259.0600965456001,5.8130499801877535,0.750870204549764,0.10270883574297189,-0.0003460508701472546,0.04199999999999998,0.0,446.0,54.0,2.774,448.0,1521.9370032891295,-0.00017933723397408073,153.4470006,17.34003323598395,5.0
MAC000003-2012-02,177.4174522906001,1.788539994999998,177.41745229060012,10.84386133674312,0.31509720835733124,0.04763989277108433,-1.486242335508911e-19,0.0,0.0,135.0,19.0,3.3789999,136.0,1512.022477566699,0.0002524286002429047,71.17399979999999,11.875331478621158,2.0
MAC000003-2012-03,629.4953710950003,5.523880007999997,629.4953710950003,5.362041549711898,0.813314427483321,0.15605087095046852,-1.606425702811499e-05,0.04200000000000001,-0.0030000000000000027,425.0,62.0,3.704,431.0,1560.250323753849,-0.0002586021380067154,233.14000119999997,42.13489766365464,4.0
MAC000003-2012-04,297.3157343496002,4.411045007000002,297.3157343496002,7.0767048701622635,0.8034493991241612,0.18447590401606426,-4.752342704150138e-05,0.055000000000000014,-0.0010000000000000009,416.0,63.0,2.3210001,419.0,1564.0595549649875,-3.087707165829991e-05,275.6070006,19.90065156289158,5.0
MAC000003-2012-05,247.70404220100016,4.128494997999997,247.70404220100008,7.322368757413153,0.7942816617329957,0.1613875499330656,2.074966532797756e-05,0.05349999999999999,-0.0050000000000000044,441.0,70.0,2.1199999,443.0,1553.2069305856944,-8.547989359832522e-06,241.1129996,16.579922503413666,6.0
MAC000003-2012-06,240.32915294880007,3.9056299999999995,240.32915294880004,7.0440343584619916,0.783172942443056,0.15848192730923694,-9.103078982597055e-05,0.04600000000000001,-0.0020000000000000018,421.0,68.0,1.603,424.0,1555.7448748859642,-4.88653336483667e-05,236.7719994,16.08628868465864,5.0
MAC000003-2012-07,224.71147282440006,3.8289949959999996,224.71147282440003,7.108637351792541,0.7897723673382614,0.15444779129852743,-7.362784471216838e-06,0.047000000000000014,-0.007000000000000006,445.0,69.0,1.744,449.0,1552.1033345812327,-2.648402759824028e-05,230.7450002,15.040928569236952,4.0
MAC000003-2012-08,239.19495402680008,3.961570000000001,239.19495402680002,7.416766857808944,0.7933665570184917,0.16380856787148593,-1.7402945113788057e-05,0.04600000000000001,-0.006000000000000005,438.0,71.0,1.748,439.0,1558.9300716592709,1.1428415208596114e-05,244.7300004,16.01037175547524,4.0
MAC000003-2012-09,245.47586425860013,3.919344997000004,245.47586425860015,7.228072485724985,0.7865344878706939,0.16978647925033466,-4.350736278447332e-05,0.04800000000000001,-0.0030000000000000027,420.0,77.0,1.6440001,423.0,1561.4467017244158,-4.1238435423952286e-05,253.661,16.430780740200813,5.0
MAC000003-2012-10,552.2635407320004,5.565185011999999,552.2635407320005,8.962198235483584,0.8241428274213571,0.18783199451137889,4.3507362784471926e-05,0.05399999999999999,-0.004999999999999994,438.0,67.0,3.5280001,440.0,1575.9732918940308,0.00017483178077179142,280.62099980000005,36.9654311065596,4.0
