sample_name,ECDF Percentile Count_0,ECDF Percentile Count_1,ECDF Percentile_0,ECDF Percentile_1,ECDF_0,ECDF_1,ECDF_2,ECDF_3,ECDF_4,ECDF_5,ECDF_6,ECDF_7,ECDF_8,ECDF_9,Histogram_0,Histogram_1,Histogram_2,Histogram_3,Histogram_4,Histogram_5,Histogram_6,Histogram_7,Histogram_8,Histogram_9,Interquartile range,Kurtosis,Max,Mean,Mean absolute deviation,Median,Median absolute deviation,Min,Root mean square,Skewness,Standard deviation,Variance
MAC000045-2013-10,298.0,1194.0,0.098,0.54,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,783.0,337.0,104.0,64.0,69.0,0.278,4.357359645267699,2.802,0.3604688549899531,0.2993270534147074,0.189,0.10300000000000001,0.0,0.5550058801286354,2.1406254292303637,0.422011530126362,0.17809373155959335
MAC000045-2013-11,298.0,1194.0,0.084,0.678,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,678.0,328.0,134.0,96.0,38.0,0.46299999999999997,1.5662210990695824,2.358,0.4572525117213664,0.40439739099499383,0.229,0.165,0.0,0.7074023160991003,1.6348783128938433,0.5397575171749561,0.291338177346873
MAC000045-2013-12,298.0,1194.0,0.083,0.69,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,645.0,278.0,167.0,161.0,70.0,0.516,2.7196128345943933,3.049,0.45350569383791023,0.37292227390766197,0.275,0.20700000000000002,0.0,0.6740464748857912,1.7442524029267064,0.49866946564087616,0.24867123596255697
MAC000045-2014-01,298.0,1194.0,0.082,0.635,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,712.0,323.0,142.0,98.0,31.0,0.395,2.2661347576169177,2.5469999,0.42069993275284656,0.3604202658392884,0.225,0.15200000000000002,0.0,0.6500746878723432,1.7909902679870786,0.49558921133744915,0.24560866639407483
MAC000045-2014-02,298.0,1194.0,0.035,0.662,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,818.0,254.0,84.0,107.0,38.0,0.456,1.7047855434590664,2.1830001,0.394862692632284,0.38457972893956127,0.174,0.141,0.0,0.6472381108782211,1.6776790719222052,0.5128358666672905,0.26300062614039094
MAC000047-2011-12,298.0,1194.0,0.0,0.175,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1384.0,108.0,1.0,0.0,0.0,0.12100000000000001,-0.5220936498392446,0.412,0.10250569323509712,0.06095226619064902,0.101,0.064,0.0,0.12700832202931406,0.17413213318952303,0.07499131095729762,0.005623696719094107
MAC000047-2012-01,298.0,1194.0,0.072,0.176,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1413.0,80.0,0.0,0.0,0.0,0.09300000000000001,-0.2517198880189384,0.373,0.12068251841929001,0.04838571157475677,0.105,0.046,0.0,0.13289348050254526,0.5682266854482676,0.05564536735486702,0.0030964069080581
MAC000047-2012-02,298.0,1194.0,0.082,0.181,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1402.0,91.0,0.0,0.0,0.0,0.087,0.3327527876566245,0.394,0.1311299397186872,0.05017047180210035,0.144,0.041999999999999996,0.0,0.14438277760936116,-0.11547466958851398,0.060426197791750055,0.0036513253795676993
MAC000047-2012-03,298.0,1194.0,0.093,0.182,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1397.0,95.0,1.0,0.0,0.0,0.07899999999999999,1.0544768827311382,0.406,0.14315539182853315,0.041986402272897544,0.154,0.037000000000000005,0.0,0.1517043406295304,0.5520863776899292,0.05020697915887524,0.0025207407562597324
MAC000047-2012-04,298.0,1194.0,0.065,0.175,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1419.0,74.0,0.0,0.0,0.0,0.09600000000000002,-0.11118538621541063,0.341,0.1161158740790355,0.05080834921080694,0.102,0.04699999999999999,0.0,0.13037209615607398,0.41797014868215315,0.0592788937395948,0.003513987242990172
MAC000047-2012-05,298.0,1194.0,0.088,0.178,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1401.0,90.0,2.0,0.0,0.0,0.08099999999999999,1.1165893888128684,0.444,0.13441594105827193,0.04400974496298646,0.122,0.04000000000000001,0.0,0.14361306809920904,0.6146012415615804,0.050567461062299895,0.002557068118287216
MAC000047-2012-06,298.0,1194.0,0.065,0.162,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1434.0,58.0,1.0,0.0,0.0,0.081,1.974928583675208,0.493,0.10601272605492298,0.04243814738931266,0.094,0.027999999999999997,0.0,0.11906959302829997,0.885780295700432,0.05421134473824496,0.0029388698983288395
